Model,Battery,Range,Efficiency
TeslaModel 3 RWD(Highland)Tesla Model 3 RWD,,,
MGMG4 Electric 64 kWh(MY22-25)MG MG4 Electric 64 kWh,,,
BMWiX xDrive40BMW iX xDrive40,,,
Fiat500e Hatchback 42 kWhFiat 500e Hatchback 42 kWh,,,
BMWi3 50 xDriveBMW i3 50 xDrive,,,
CUPRABorn 150 kW - 58 kWh(MY22-24)CUPRA Born 150 kW - 58 kWh,,,
CUPRABorn 170 kW - 77 kWh(MY22-24)CUPRA Born 170 kW - 77 kWh,,,
Mercedes-BenzCLA 250+Mercedes-Benz CLA 250+,,,
BMWiX3 50 xDrive(MY26)BMW iX3 50 xDrive,,,
TeslaModel Y RWD(Juniper)Tesla Model Y RWD,,,
TeslaModel Y Premium AWD(Juniper)Tesla Model Y Premium AWD,,,
TeslaModel Y Long Range AWD(Juniper)Tesla Model Y Long Range AWD,,,
KiaEV3 Long Range(MY25-26)Kia EV3 Long Range,,,
TeslaModel 3 Premium RWD(Highland)Tesla Model 3 Premium RWD,,,
TeslaModel Y Long Range AWDTesla Model Y Long Range AWD,,,
BMWiX5 60 xDrive(MY27)BMW iX5 60 xDrive,,,
Citroënë-C3 Aircross Extended Range 54 kWhCitroen e-C3 Aircross Extended Range 54 kWh,,,
LeapmotorB05 67.1 kWhLeapmotor B05 67.1 kWh,,,
RenaultTwingo E-Tech 27.5 kWhRenault Twingo E-Tech 27.5 kWh,,,
VolvoEX60 P12 AWD(MY27)Volvo EX60 P12 AWD,,,
Mercedes-BenzGLC 400 4MATICMercedes-Benz GLC 400 4MATIC,,,
BYDATTO 2 64.8 kWhBYD ATTO 2 64.8 kWh,,,
XPENGL03 RWD Long RangeXPENG L03 RWD Long Range,,,
TeslaModel 3 Long Range RWD(Highland)Tesla Model 3 Long Range RWD,,,
HyundaiIONIQ 3 61 kWh(MY27)Hyundai IONIQ 3 61 kWh,,,
TeslaModel 3 Long Range AWDTesla Model 3 Long Range AWD,,,
Renault5 E-Tech 52kWh 150hpRenault 5 E-Tech 52kWh 150hp,,,
XPENGG6 RWD Long Range(MY25)XPENG G6 RWD Long Range,,,
BYDSEALION 7 91.3 kWh AWD ExcellenceBYD SEALION 7 91.3 kWh AWD Excellence,,,
TeslaModel Y RWD(Juniper)Tesla Model Y RWD,,,
Zeekr7GT Long Range RWD(MY26)Zeekr 7GT Long Range RWD,,,
